id,zipcode,city,state,dateSold,bathrooms,bedrooms,livingArea,homeType,homeStatus,lotArea,lotUnit,address,price
20479,76247.0,Justin,TX,1641456000000.0,3.0,4.0,3078.0,SINGLE_FAMILY,RECENTLY_SOLD,7492.32,sqft,"1937 Caddo Springs Dr, Justin, TX 76247",358100.0
13019,6070.0,Simsbury,CT,1641283200000.0,3.0,3.0,2200.0,CONDO,PENDING,0.0,sqft,"18 Brettonwood Dr, Simsbury, CT 06070",399900.0
9816,85340.0,Litchfield Park,AZ,1641369600000.0,5.0,5.0,3722.0,SINGLE_FAMILY,RECENTLY_SOLD,6577.56,sqft,"14584 W Hidden Terrace Loop, Litchfield Park, AZ 85340",660000.0
4479,99507.0,Anchorage,AK,1641369600000.0,2.0,3.0,1388.0,CONDO,RECENTLY_SOLD,0.0,sqft,"2903 Suncatcher Ct, Anchorage, AK 99507",232500.0
180,3901.0,Berwick,ME,1640905104779.5823,4.0,3.0,2972.0,SINGLE_FAMILY,RECENTLY_SOLD,1.83,acres,"32 Tyler Ln, Berwick, ME 03901",551900.0
21279,80241.0,Thornton,CO,1640851200000.0,3.0,2.0,1926.0,TOWNHOUSE,RECENTLY_SOLD,0.0,sqft,"1284 E 130th Ave UNIT A, Thornton, CO 80241",435000.0
4211,62864.0,Mount Vernon,IL,1641369600000.0,3.0,3.0,2157.0,SINGLE_FAMILY,RECENTLY_SOLD,0.3398760330578512,acres,"9 Rushton Dr, Mount Vernon, IL 62864",175000.0
12556,48180.0,Taylor,MI,1640851200000.0,3.0,4.0,1719.0,SINGLE_FAMILY,RECENTLY_SOLD,0.25,acres,"7888 Jackson St, Taylor, MI 48180",170000.0
5511,6053.0,New Britain,CT,1640851200000.0,2.0,2.0,1024.0,TOWNHOUSE,RECENTLY_SOLD,0.0,sqft,"410 Farmington Ave APT J1, New Britain, CT 06053",175000.0
19464,28334.0,Dunn,NC,1641542400000.0,2.0,3.0,1546.0,SINGLE_FAMILY,RECENTLY_SOLD,8712.0,sqft,"402 E Duke St, Dunn, NC 28334",125000.0
2730,30139.0,Fairmount,GA,1641196800000.0,2.0,3.0,1551.0,SINGLE_FAMILY,RECENTLY_SOLD,1.21,acres,"10881 Fairmount Hwy SE, Fairmount, GA 30139",224900.0
1493,60013.0,Cary,IL,1641283200000.0,4.0,4.0,4026.0,SINGLE_FAMILY,RECENTLY_SOLD,0.913,acres,"24850 N Wildberry Bnd, Cary, IL 60013",770000.0
469,98116.0,Seattle,WA,1640851200000.0,1.0,2.0,1040.0,SINGLE_FAMILY,RECENTLY_SOLD,2008.116,sqft,"6110 SW Admiral Way, Seattle, WA 98116",635000.0
8241,34221.0,Palmetto,FL,1641456000000.0,3.0,3.0,2020.0,SINGLE_FAMILY,RECENTLY_SOLD,10454.4,sqft,"1701 8th St E, Palmetto, FL 34221",448310.0
2166,67207.0,Wichita,KS,1640073600000.0,2.5,4.0,818.0,SINGLE_FAMILY,RECENTLY_SOLD,8712.0,sqft,"2033 S Lori Ln, Wichita, KS 67207",228300.0
1911,84770.0,Saint George,UT,1637740800000.0,2.0,3.0,1944.0,SINGLE_FAMILY,RECENTLY_SOLD,3049.0,sqft,"1806 N Dixie Downs Rd UNIT 10, Saint George, UT 84770",505100.0
17381,19709.0,Middletown,DE,1640851200000.0,3.0,3.0,1750.0,TOWNHOUSE,RECENTLY_SOLD,0.0,sqft,"358 Wilmore Dr, Middletown, DE 19709",305000.0
1423,55107.0,Saint Paul,MN,1640764800000.0,2.0,3.0,1078.0,SINGLE_FAMILY,RECENTLY_SOLD,6534.0,sqft,"824 Ohio St, Saint Paul, MN 55107",205000.0
16324,29615.0,Greenville,SC,1641542400000.0,3.0,3.0,2610.0,SINGLE_FAMILY,RECENTLY_SOLD,4.08,acres,"315 Meadow Wood Dr, Greenville, SC 29615",635000.0
22046,66062.0,Olathe,KS,1640160000000.0,4.0,4.0,2504.0,SINGLE_FAMILY,RECENTLY_SOLD,10197.0,sqft,"16580 S Stagecoach St, Olathe, KS 66062",520900.0
13312,54650.0,Onalaska,WI,1640678400000.0,2.0,4.0,1900.0,MULTI_FAMILY,RECENTLY_SOLD,0.3,acres,"521 Bluebird Ct #523, Onalaska, WI 54650",260000.0
3876,82009.0,Cheyenne,WY,1640592000000.0,3.0,4.0,3200.0,SINGLE_FAMILY,RECENTLY_SOLD,4.28,acres,"10797 Cherry Wood Ln, Cheyenne, WY 82009",525600.0
3268,97078.0,Aloha,OR,1640764800000.0,3.0,4.0,2019.0,SINGLE_FAMILY,RECENTLY_SOLD,3920.4,sqft,"20637 SW Kinnaman Rd, Aloha, OR 97078",577000.0
13838,19934.0,Camden Wyoming,DE,1640851200000.0,1.0,2.0,840.0,SINGLE_FAMILY,RECENTLY_SOLD,6098.4,sqft,"17 S Mechanic St, Camden Wyoming, DE 19934",196000.0
5485,97124.0,Hillsboro,OR,1640851200000.0,3.0,3.0,1323.0,TOWNHOUSE,RECENTLY_SOLD,0.0,sqft,"194 NE 66th Ave, Hillsboro, OR 97124",400000.0
17243,83713.0,Boise,ID,1640905104779.5823,2.0,3.0,1557.0,SINGLE_FAMILY,RECENTLY_SOLD,10105.92,sqft,"14399 W Talon Creek Dr, Boise, ID 83713",490900.0
16536,32812.0,Orlando,FL,1641456000000.0,3.0,3.0,1709.0,SINGLE_FAMILY,RECENTLY_SOLD,6534.0,sqft,"2636 Donaldson Dr, Orlando, FL 32812",360000.0
